Model,mAP,Precision,Recall,Latency_mean_ms,Latency_p95_ms
yolov8n_FP32,0.9086,0.943,0.8163,143.7,210.1
MobileNet-SSD (ssdlite320_mobilenet_v3_large),,,0.5,52.94,58.51
